"","V1","V2","V3","V4","V5","V6"
"1",-1.15791715960285,-1.19376558006835,-1.20136481712425,-1.8442223249702,-1.8083739045047,-1.8007746674488
"2",-1.15352127725676,-1.18766734950135,-1.19438672210709,-1.83860906901534,-1.80446299677075,-1.79774362416501
"3",-1.14936333277583,-1.18156994819016,-1.18741474533381,-1.83275787519532,-1.80055125978099,-1.79470646263734
"4",-1.1454708046282,-1.17546951830284,-1.18044574595097,-1.826641265042,-1.79664255136736,-1.79166632371923
"5",-1.14187117128199,-1.16936220200746,-1.17347658310512,-1.82023176008726,-1.79274072936179,-1.78862634826414
"6",-1.13855346986394,-1.1632448851419,-1.166506950808,-1.81354032320437,-1.78884890792641,-1.78558684226031
"7",-1.13535297213524,-1.15711742822324,-1.15954788253217,-1.80673168263212,-1.78496722654412,-1.78253677223519
"8",-1.13206650851571,-1.15098043543841,-1.15261324661536,-1.8000090079507,-1.781095081028,-1.77946226985105
"9",-1.12849090942517,-1.14483451097429,-1.14571691139532,-1.7935754687403,-1.77723186719117,-1.77634946677014
"10",-1.12442300528341,-1.1386802590178,-1.13887274520979,-1.7876342345811,-1.77337698084672,-1.77318449465473
"11",-1.11971423713182,-1.132516321723,-1.13208911436638,-1.78233386443174,-1.76953177984056,-1.76995898719718
"12",-1.114434488498,-1.12633349311269,-1.12535237705223,-1.77760447476461,-1.76570547014993,-1.76668658621039
"13",-1.10870825353111,-1.12012060517679,-1.11864338942433,-1.77332157143056,-1.76190921978488,-1.76338643553734
"14",-1.10266002638029,-1.11386648990526,-1.11194300763969,-1.76936066028042,-1.75815419675546,-1.76007767902103
"15",-1.09641430119473,-1.10755997928805,-1.10523208785531,-1.76559724716504,-1.75445156907172,-1.75677946050446
"16",-1.09008297316164,-1.10119217154657,-1.09849442697509,-1.76191943689718,-1.75081023851225,-1.75350798308373
"17",-1.08372754162059,-1.09476322982811,-1.09172558489053,-1.75826573013729,-1.74723004192976,-1.75026768686734
"18",-1.07739690694917,-1.08827558351143,-1.08492406224002,-1.75458722650775,-1.7437085499455,-1.7470600712169
"19",-1.07113996952503,-1.08173166197527,-1.07808835966196,-1.75083502563095,-1.7402433331807,-1.74388663549401
"20",-1.06500562972577,-1.0751338945984,-1.07121697779475,-1.74696022712926,-1.73683196225663,-1.74074887906028
"21",-1.05901843443783,-1.06848705845431,-1.06430939295092,-1.74293828411624,-1.73346966009976,-1.73764732560316
"22",-1.05310551658291,-1.0618053213955,-1.05736898413957,-1.73884206367021,-1.73014225885763,-1.73457859611356
"23",-1.04716965559151,-1.0551051989692,-1.05040010604393,-1.73476878636067,-1.72683324298298,-1.73153833590825
"24",-1.04111363089414,-1.04840320672263,-1.04340711334725,-1.73081567275709,-1.7235260969286,-1.72852219030398
"25",-1.03484022192129,-1.04171586020304,-1.03639436073275,-1.72707994342899,-1.72020430514724,-1.72552580461753
"26",-1.02826837959516,-1.03505474997752,-1.02936565014959,-1.72364264745417,-1.71685627707182,-1.72254537689975
"27",-1.02138174080464,-1.0284117666926,-1.02232257261051,-1.72052014794374,-1.71349012205579,-1.71957931613787
"28",-1.01418011393031,-1.02177387601467,-1.01526616639419,-1.71771263651713,-1.71011887443277,-1.71662658405325
"29",-1.00666330735273,-1.01512804361013,-1.00819746977929,-1.71522030479376,-1.70675556853636,-1.7136861423672
"30",-0.998831129452476,-1.00846123514536,-1.00111752104447,-1.71304334439306,-1.70341323870018,-1.71075695280107
"31",-0.990714462167329,-1.0017611560269,-0.994025178249962,-1.71115087337726,-1.70010417951769,-1.70784015729463
"32",-0.982468481663843,-0.995018470621733,-0.986910578582276,-1.7093877155798,-1.69683772662191,-1.70494561866137
