"","V1","V2","V3","V4","V5","V6"
"result.1",0.8945,0.895,0.916,0,0,0
"result.2",0.898,0.902,0.9125,0,0,0
"result.3",0.8965,0.8975,0.908,0,0,0
"result.4",0.9025,0.905,0.9165,0,0,0
"result.5",0.8945,0.9005,0.909,0,0,0
"result.6",0.9,0.9025,0.9105,0,0,0
"result.7",0.888,0.8845,0.9005,0,0,0
"result.8",0.893,0.897,0.9055,0,0,0
"result.9",0.895,0.8935,0.907,5e-04,0,0
"result.10",0.9165,0.915,0.9305,0,0,0
"result.11",0.9145,0.9105,0.928,0,0,0
"result.12",0.897,0.892,0.9055,0,0,0
"result.13",0.9175,0.9175,0.9305,0,0,0
"result.14",0.9065,0.91,0.919,0,0,0
"result.15",0.9195,0.925,0.933,0,0,0
"result.16",0.91,0.9145,0.93,0,0,0
"result.17",0.8955,0.8965,0.9115,0,0,0
"result.18",0.887,0.8885,0.8995,0,0,0
"result.19",0.91,0.907,0.922,0,0,0
"result.20",0.8935,0.897,0.9115,0,0,0
"result.21",0.903,0.905,0.919,0,0,0
"result.22",0.8875,0.885,0.9,0,0,0
"result.23",0.8905,0.8905,0.902,5e-04,0,0
"result.24",0.909,0.907,0.919,0,0,0
"result.25",0.9025,0.904,0.9155,0,0,0
"result.26",0.8935,0.889,0.906,0,0,0
"result.27",0.912,0.915,0.9215,0,0,0
"result.28",0.9005,0.902,0.9135,0,0,0
"result.29",0.908,0.9115,0.921,0,0,0
"result.30",0.9095,0.909,0.9205,0,0,0
"result.31",0.908,0.9075,0.925,0,0,0
"result.32",0.9075,0.9085,0.92,0,0,0
"result.33",0.8765,0.875,0.8885,0,0,0
"result.34",0.902,0.9055,0.916,0,0,0
"result.35",0.902,0.9055,0.918,0,0,0
"result.36",0.912,0.9075,0.9245,0,0,0
"result.37",0.907,0.9075,0.9185,0,0,0
"result.38",0.903,0.9055,0.9135,0,0,0
"result.39",0.9035,0.9085,0.918,0,0,0
"result.40",0.908,0.9075,0.9225,0,0,0
"result.41",0.9035,0.9025,0.917,0,0,0
"result.42",0.9065,0.9035,0.924,0,0,0
"result.43",0.9055,0.9015,0.9205,0,0,0
"result.44",0.8975,0.9,0.913,0,0,0
"result.45",0.901,0.907,0.916,0,0,0
"result.46",0.891,0.8925,0.908,0,0,0
"result.47",0.908,0.9175,0.929,0,0,0
"result.48",0.8915,0.8915,0.9015,0.001,0,5e-04
"result.49",0.887,0.889,0.902,0,0,0
"result.50",0.925,0.923,0.9345,5e-04,5e-04,0
"result.51",0.9165,0.913,0.9295,0,0,0
"result.52",0.894,0.896,0.908,0,0,0
"result.53",0.892,0.8855,0.9045,5e-04,0,0
"result.54",0.9045,0.9035,0.9145,0,0,0
"result.55",0.89,0.881,0.902,0,0,0
"result.56",0.909,0.912,0.9245,0,0,0
"result.57",0.893,0.8885,0.9075,0,0,0
"result.58",0.8955,0.895,0.9115,0,0,0
"result.59",0.901,0.901,0.9135,0,0,0
"result.60",0.904,0.9065,0.9145,0,0,0
"result.61",0.9065,0.9065,0.9155,0,0,0
"result.62",0.8845,0.8905,0.903,0,0,0
"result.63",0.9025,0.9025,0.917,0,0,0
"result.64",0.9055,0.904,0.916,0,0,0
"result.65",0.9065,0.9045,0.922,0,0,0
"result.66",0.923,0.922,0.9345,0,0,0
"result.67",0.8965,0.8935,0.904,0,0,0
"result.68",0.895,0.897,0.9115,0,0,0
"result.69",0.907,0.91,0.917,0,0,0
"result.70",0.892,0.8945,0.9065,0,0,0
"result.71",0.889,0.896,0.904,0,0,0
"result.72",0.9165,0.915,0.927,0,0,0
"result.73",0.916,0.906,0.929,0,0,0
"result.74",0.9015,0.9045,0.915,0,0,0
"result.75",0.9085,0.912,0.9185,0,0,0
"result.76",0.9005,0.8995,0.9125,0,0,0
"result.77",0.9105,0.91,0.9225,5e-04,0,0
"result.78",0.8925,0.888,0.909,0,0,0
"result.79",0.8985,0.8975,0.913,0,0,0
"result.80",0.896,0.898,0.912,0,0,0
"result.81",0.893,0.892,0.907,0,0,0
"result.82",0.878,0.8765,0.8915,0,0,0
"result.83",0.918,0.917,0.9245,0,0,0
"result.84",0.8935,0.89,0.9085,0,0,0
"result.85",0.9125,0.9125,0.923,0,0,0
"result.86",0.8965,0.894,0.9055,0,0,0
"result.87",0.8915,0.894,0.903,0,0,0
"result.88",0.9055,0.9095,0.92,0,0,0
"result.89",0.905,0.9095,0.9185,0,0,0
"result.90",0.907,0.9095,0.9225,0,0,0
"result.91",0.91,0.901,0.9195,0,0,0
"result.92",0.9035,0.897,0.913,0,0,0
"result.93",0.8945,0.8865,0.9055,0,0,0
"result.94",0.906,0.901,0.9175,0,0,0
"result.95",0.8955,0.895,0.911,5e-04,0,0
"result.96",0.8805,0.881,0.888,0,0,0
"result.97",0.9055,0.8985,0.919,0,0,0
"result.98",0.8955,0.8955,0.9085,0,0,0
"result.99",0.905,0.907,0.9185,5e-04,0,0
"result.100",0.9035,0.906,0.918,0,0,0
